Data;Close;lr;sd_f22;sd_f11;sd_f5;sd_h22;sd_h11;sd_h5
09/05/2016;2058.689941;0.000753213;0.006121616;0.007110759;0.007925236;0.00517444;0.005054485;0.004425723
10/05/2016;2084.389893;0.012406366;0.006154136;0.008177823;0.009064252;0.005736053;0.006426163;0.005991659
11/05/2016;2064.459961;-0.009607523;0.006017017;0.007601825;0.007543166;0.006096194;0.006926075;0.007049658
12/05/2016;2064.110107;-0.00016948;0.005915123;0.006943561;0.006980277;0.005762527;0.006877873;0.007046682
13/05/2016;2046.609985;-0.008514434;0.005930997;0.006985927;0.006975198;0.005598809;0.006801468;0.007925236
16/05/2016;2066.659912;0.009748977;0.005638658;0.006305142;0.006822811;0.006013513;0.007362945;0.009064252
17/05/2016;2047.209961;-0.009455863;0.005306531;0.005837654;0.005044596;0.006305732;0.007387279;0.007543166
18/05/2016;2047.630005;0.000205158;0.004935579;0.004716436;0.006319702;0.006109491;0.007032663;0.006980277
19/05/2016;2040.040039;-0.003713595;0.005054597;0.004937205;0.006341971;0.006065731;0.00690875;0.006975198
20/05/2016;2052.320068;0.006001459;0.004971182;0.004598951;0.005582848;0.006243611;0.00715799;0.006822811
23/05/2016;2048.040039;-0.002087636;0.004881316;0.004521975;0.005554156;0.006183754;0.007110759;0.005044596
24/05/2016;2076.060059;0.013588638;0.005489608;0.004271324;0.005308814;0.006886763;0.008177823;0.006319702
25/05/2016;2090.540039;0.006950529;0.009158178;0.002902136;0.002969945;0.007041656;0.007601825;0.006341971
26/05/2016;2090.100098;-0.000210466;0.009672877;0.003823723;0.00193656;0.00703066;0.006943561;0.005582848
27/05/2016;2099.060059;0.004277695;0.010499997;0.004525328;0.002582246;0.007080432;0.006985927;0.005554156
31/05/2016;2096.949951;-0.001005769;0.011109441;0.004274621;0.00274904;0.00678708;0.006305142;0.005308814
01/06/2016;2099.330078;0.001134399;0.011489319;0.00428088;0.00256391;0.006679228;0.005837654;0.002969945
02/06/2016;2105.26001;0.002820696;0.011494076;0.00441226;0.002656948;0.006519725;0.004716436;0.00193656
03/06/2016;2099.129883;-0.002916062;0.011566029;0.004287127;0.002939823;0.006252933;0.004937205;0.002582246
06/06/2016;2109.409912;0.004885328;0.011610903;0.004730228;0.004978698;0.006128613;0.004598951;0.00274904
07/06/2016;2112.129883;0.001288616;0.011562919;0.004534294;0.004997708;0.006119727;0.004521975;0.00256391
08/06/2016;2119.120117;0.003304102;0.011998293;0.004484494;0.004618457;0.006121616;0.004271324;0.002656948
09/06/2016;2115.47998;-0.001719236;0.011999404;0.006034365;0.003395217;0.006154136;0.002902136;0.002939823
10/06/2016;2096.070068;-0.009217532;0.012066795;0.012090158;0.004557091;0.006017017;0.003823723;0.004978698
13/06/2016;2079.060059;-0.008148298;0.011870204;0.012746351;0.003606029;0.005915123;0.004525328;0.004997708
14/06/2016;2075.320068;-0.001800505;0.011717308;0.014107343;0.003458316;0.005930997;0.004274621;0.004618457
15/06/2016;2071.5;-0.001842409;0.011706491;0.015106912;0.003352498;0.005638658;0.00428088;0.003395217
16/06/2016;2077.98999;0.003128093;0.011678887;0.015589458;0.003317601;0.005306531;0.00441226;0.004557091
17/06/2016;2071.219971;-0.003263284;0.011698353;0.015579822;0.005893239;0.004935579;0.004287127;0.003606029
20/06/2016;2083.25;0.005791383;0.011654094;0.015705385;0.01734259;0.005054597;0.004730228;0.003458316
21/06/2016;2088.899902;0.00270839;0.011686381;0.015692728;0.017491299;0.004971182;0.004534294;0.003352498
22/06/2016;2085.449951;-0.001652929;0.011699445;0.015685164;0.02014824;0.004881316;0.004484494;0.003317601
23/06/2016;2113.320068;0.013275567;0.011721349;0.016219921;0.022060953;0.005489608;0.006034365;0.005893239
24/06/2016;2037.410034;-0.036580793;0.011451064;0.015835173;0.022087485;0.009158178;0.012090158;0.01734259
27/06/2016;2000.540039;-0.018262246;0.007997889;0.010477319;0.013519287;0.009672877;0.012746351;0.017491299
28/06/2016;2036.089966;0.017614122;0.00656215;0.007746035;0.00956388;0.010499997;0.014107343;0.02014824
29/06/2016;2070.77002;0.016889243;0.005824471;0.006927763;0.008447997;0.011109441;0.015106912;0.022060953
30/06/2016;2098.860107;0.013473863;0.005025425;0.006117785;0.006751636;0.011489319;0.015589458;0.022087485
01/07/2016;2102.949951;0.001946706;0.004681004;0.005320213;0.007298264;0.011494076;0.015579822;0.013519287
