(Intercept),vix_f,vix^2,vix^3,vix^4,vix^5,vix^6,vix_ln,vix_sqrt,vix_1ov,adjR^2,AIC,delta
-26.34820555,,,0.000364233,-3.49E-06,,,12.20247213,,57.05535785,0.55383749,53462.38754,12.60805537
0.29271948,0.742849484,,,2.08E-06,,-2.86E-10,,,,0.553725108,53462.42728,12.64779016
-36.80337082,-6.235414031,,0.000760508,-6.34E-06,,,-81.86767935,93.28241765,,0.553944884,53462.43787,12.65838325
-126.7364949,-6.277821325,0.045564797,,,-2.12E-08,,,52.95799291,255.7273066,0.55394487,53462.43813,12.6586387
-7.397607816,,,0.000242892,,-3.92E-08,1.55E-10,,4.694426012,,0.553833258,53462.46436,12.68487043
-548.6471541,,0.131915685,-0.000943333,,1.15E-08,,424.0494856,-185.2498441,1541.336692,0.554052516,53462.4834,12.70391462
-0.382916285,0.88999057,-0.010543202,0.000289472,,-2.48E-08,,,,,0.55383024,53462.51915,12.73966109
-261.5945434,-23.36525333,0.183667135,-0.000871658,,,,-91.76648273,208.9970573,363.5213808,0.554049653,53462.5354,12.75590707
-5.642103981,,,0.000198578,,-2.13E-08,,-3.392837998,6.643788594,,0.553827029,53462.57744,12.79795002
-47.50137916,,-0.035353061,0.00097494,-6.96E-06,,,,14.3050715,129.1093048,0.553936184,53462.59583,12.81634251
-276.4004835,9.676930321,,,,,-1.38E-10,314.762064,-199.267748,931.58921,0.553934305,53462.62994,12.85044749
-609.5550322,22.284465,,,-3.45E-06,,1.26E-10,728.704171,-470.9918321,2066.036338,0.554044126,53462.63576,12.8562724
-506.571925,,0.124163833,-0.000957685,1.64E-06,,,390.9671766,-170.5180428,1423.952036,0.554044075,53462.6367,12.85721226
-22.53678719,,,,4.65E-06,-5.10E-08,,,7.67225697,61.8630191,0.553822079,53462.66729,12.88780161
0.782637239,0.704542568,,,4.55E-06,-6.79E-08,1.91E-10,,,,0.553821531,53462.67723,12.89774637
-8.655284756,,-0.005218113,0.000452391,-4.03E-06,,,,5.188096158,,0.553819722,53462.71008,12.93058706
-5.260520021,0.193126598,,0.00019351,,-2.12E-08,,,3.431735662,,0.553819708,53462.71033,12.93084444
